parameter,unit,value,frequency,date,longitude,latitude,height,validation,note
SO2,,-1.0,,2022-03-24T19:00:00.0,,,,,
CO,,-1.0,,2022-03-24T19:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-24T19:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T19:00:00.0,,,,,
O3,,-1.0,,2022-03-24T19:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T19:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T19:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T19:00:00.0,,,,,
CO,,-1.0,,2022-03-24T20:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T20:00:00.0,,,,,
O3,,-1.0,,2022-03-24T20:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T20:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T20:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T20:00:00.0,,,,,
CO,,-1.0,,2022-03-24T20:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-24T20:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T20:00:00.0,,,,,
O3,,-1.0,,2022-03-24T20:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T20:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T20:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T20:00:00.0,,,,,
CO,,-1.0,,2022-03-24T21:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T21:00:00.0,,,,,
O3,,-1.0,,2022-03-24T21:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T21:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T21:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T21:00:00.0,,,,,
CO,,-1.0,,2022-03-24T21:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-24T21:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T21:00:00.0,,,,,
O3,,-1.0,,2022-03-24T21:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T21:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T21:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T21:00:00.0,,,,,
CO,,-1.0,,2022-03-24T22:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T22:00:00.0,,,,,
O3,,-1.0,,2022-03-24T22:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T22:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T22:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T22:00:00.0,,,,,
CO,,-1.0,,2022-03-24T22:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-24T22:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T22:00:00.0,,,,,
O3,,-1.0,,2022-03-24T22:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T22:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T22:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T22:00:00.0,,,,,
CO,,-1.0,,2022-03-24T23:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T23:00:00.0,,,,,
O3,,-1.0,,2022-03-24T23:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T23:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T23:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T23:00:00.0,,,,,
CO,,-1.0,,2022-03-24T23:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-24T23:00:00.0,,,,,
NO2,,-1.0,,2022-03-24T23:00:00.0,,,,,
O3,,-1.0,,2022-03-24T23:00:00.0,,,,,
PM10,,-1.0,,2022-03-24T23:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-24T23:00:00.0,,,,,
SO2,,-1.0,,2022-03-24T23:00:00.0,,,,,
CO,,-1.0,,2022-03-25T00:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T00:00:00.0,,,,,
O3,,-1.0,,2022-03-25T00:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T00:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T00:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T00:00:00.0,,,,,
CO,,-1.0,,2022-03-25T00:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T00:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T00:00:00.0,,,,,
O3,,-1.0,,2022-03-25T00:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T00:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T00:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T00:00:00.0,,,,,
CO,,-1.0,,2022-03-25T01:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T01:00:00.0,,,,,
O3,,-1.0,,2022-03-25T01:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T01:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T01:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T01:00:00.0,,,,,
CO,,-1.0,,2022-03-25T01:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T01:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T01:00:00.0,,,,,
O3,,-1.0,,2022-03-25T01:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T01:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T01:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T01:00:00.0,,,,,
CO,,-1.0,,2022-03-25T02:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T02:00:00.0,,,,,
O3,,-1.0,,2022-03-25T02:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T02:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T02:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T02:00:00.0,,,,,
CO,,-1.0,,2022-03-25T02:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T02:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T02:00:00.0,,,,,
O3,,-1.0,,2022-03-25T02:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T02:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T02:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T02:00:00.0,,,,,
CO,,-1.0,,2022-03-25T03:00:00.0,,,,,
NO2,,-1.0,,2022-03-25T03:00:00.0,,,,,
O3,,-1.0,,2022-03-25T03:00:00.0,,,,,
PM10,,-1.0,,2022-03-25T03:00:00.0,,,,,
PM2.5,,-1.0,,2022-03-25T03:00:00.0,,,,,
SO2,,-1.0,,2022-03-25T03:00:00.0,,,,,
CO,,-1.0,,2022-03-25T03:00:00.0,,,,,
GAMMA,,-1.0,,2022-03-25T03:00:00.0,,,,,
